"site","cam_id","date","jday","hour","tod","image_type","photo_count","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-13,44,12,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,12,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,13,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,13,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,14,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,14,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,16,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,16,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,19,"night","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,19,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,20,"night","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,20,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,21,"night","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,21,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-13,44,22,"night","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,22,"night","timelapse",6,1,0
"Lava1","cam_01",2021-02-13,44,23,"night","motion",0,0,0
"Lava1","cam_01",2021-02-13,44,23,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,0,"night","motion",5,1,0
"Lava1","cam_01",2021-02-14,45,0,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,1,"night","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,1,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,2,"night","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,2,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,3,"night","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,3,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,4,"night","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,4,"night","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-14,45,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-14,45,7,"dawn","motion",0,0,0
