"site","cam_id","date","jday","hour","image_type","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-26,57,16,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,17,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,18,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,19,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,20,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,21,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,22,"timelapse",0,0
"Lava1","cam_01",2021-02-26,57,23,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,0,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,1,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,2,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,3,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,4,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,5,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,6,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,7,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,8,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,9,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,10,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,11,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,12,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,13,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,14,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,15,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,16,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,17,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,18,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,19,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,20,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,21,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,22,"timelapse",0,0
"Lava1","cam_01",2021-02-27,58,23,"timelapse",1,0
"Lava1","cam_01",2021-02-28,59,0,"timelapse",0,0
"Lava1","cam_01",2021-02-28,59,1,"timelapse",0,0
"Lava1","cam_01",2021-02-28,59,2,"timelapse",0,0
"Lava1","cam_01",2021-02-28,59,3,"timelapse",0,0
