"site","cam_id","date","jday","hour","tod","image_type","photo_count","SCMU_hourly_det","CORA_hourly_det"
"Lava1","cam_01",2021-02-17,48,15,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,15,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,16,"day","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,16,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,17,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,17,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,18,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,18,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,19,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,19,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,20,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,20,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,21,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,21,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,22,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,22,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-17,48,23,"dusk","motion",0,0,0
"Lava1","cam_01",2021-02-17,48,23,"dusk","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,0,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,0,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,1,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,1,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,2,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,2,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,3,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,3,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,4,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,4,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,5,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,5,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,6,"dawn","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,6,"dawn","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,7,"day","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,7,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,8,"day","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,8,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,9,"day","motion",0,0,0
"Lava1","cam_01",2021-02-18,49,9,"day","timelapse",6,0,0
"Lava1","cam_01",2021-02-18,49,10,"day","motion",0,0,0
