Begin.File,site,cam_id,date,time,date_time,yr,mnth,d,jday,hr,min,sec,time.since2,beaf,SCMU,CORA,tod
PWR04_20210228_213000.wav,Moss,cam_03,2021-02-28,21:30:00,2021-02-28T21:30:00Z,2021,2,28,59,21,30,0,-600,before,1,0,dusk
PWR04_20210302_003000.wav,Moss,cam_03,2021-03-02,00:30:00,2021-03-02T00:30:00Z,2021,3,2,61,0,30,0,-600,before,1,0,dawn
PWR04_20210302_004000.wav,Moss,cam_03,2021-03-02,00:40:00,2021-03-02T00:40:00Z,2021,3,2,61,0,40,0,-600,before,1,0,dawn
PWR04_20210303_023000.wav,Moss,cam_03,2021-03-03,02:30:00,2021-03-03T02:30:00Z,2021,3,3,62,2,30,0,761,after,1,0,dawn
PWR04_20210303_024000.wav,Moss,cam_03,2021-03-03,02:40:00,2021-03-03T02:40:00Z,2021,3,3,62,2,40,0,600,after,1,0,dawn
PWR04_20210303_025000.wav,Moss,cam_03,2021-03-03,02:50:00,2021-03-03T02:50:00Z,2021,3,3,62,2,50,0,-439,before,1,0,dawn
PWR04_20210303_030000.wav,Moss,cam_03,2021-03-03,03:00:00,2021-03-03T03:00:00Z,2021,3,3,62,3,0,0,-600,before,1,0,dawn
PWR04_20210304_023000.wav,Moss,cam_03,2021-03-04,02:30:00,2021-03-04T02:30:00Z,2021,3,4,63,2,30,0,600,after,1,0,dawn
PWR04_20210304_031000.wav,Moss,cam_03,2021-03-04,03:10:00,2021-03-04T03:10:00Z,2021,3,4,63,3,10,0,-600,before,1,0,dawn
PWR04_20210304_032000.wav,Moss,cam_03,2021-03-04,03:20:00,2021-03-04T03:20:00Z,2021,3,4,63,3,20,0,-600,before,1,0,dawn
PWR04_20210304_235000.wav,Moss,cam_03,2021-03-04,23:50:00,2021-03-04T23:50:00Z,2021,3,4,63,23,50,0,600,after,1,0,dusk
PWR04_20210305_000000.wav,Moss,cam_03,2021-03-05,00:00:00,2021-03-05T00:00:00Z,2021,3,5,64,0,0,0,0,now,0,0,dawn
PWR04_20210305_001000.wav,Moss,cam_03,2021-03-05,00:10:00,2021-03-05T00:10:00Z,2021,3,5,64,0,10,0,-600,before,0,0,dawn
PWR04_20210305_223000.wav,Moss,cam_04,2021-03-05,22:30:00,2021-03-05T22:30:00Z,2021,3,5,64,22,30,0,723,after,1,0,dusk
PWR04_20210305_224000.wav,Moss,cam_04,2021-03-05,22:40:00,2021-03-05T22:40:00Z,2021,3,5,64,22,40,0,123,before,1,0,dusk
PWR04_20210305_232000.wav,Moss,cam_03,2021-03-05,23:20:00,2021-03-05T23:20:00Z,2021,3,5,64,23,20,0,-548,before,0,0,dusk
PWR04_20210306_020000.wav,Moss,cam_03,2021-03-06,02:00:00,2021-03-06T02:00:00Z,2021,3,6,65,2,0,0,822,after,1,0,dawn
PWR04_20210306_021000.wav,Moss,cam_03,2021-03-06,02:10:00,2021-03-06T02:10:00Z,2021,3,6,65,2,10,0,600,after,1,0,dawn
PWR04_20210306_023000.wav,Moss,cam_03,2021-03-06,02:30:00,2021-03-06T02:30:00Z,2021,3,6,65,2,30,0,-600,before,1,0,dawn
PWR04_20210306_024000.wav,Moss,cam_03,2021-03-06,02:40:00,2021-03-06T02:40:00Z,2021,3,6,65,2,40,0,-600,before,1,0,dawn
PWR04_20210308_211000.wav,Moss,cam_03,2021-03-08,21:10:00,2021-03-08T21:10:00Z,2021,3,8,67,21,10,0,0,now,1,0,dusk
PWR04_20210308_213000.wav,Moss,cam_03,2021-03-08,21:30:00,2021-03-08T21:30:00Z,2021,3,8,67,21,30,0,600,after,1,0,dusk
PWR04_20210308_233000.wav,Moss,cam_03,2021-03-08,23:30:00,2021-03-08T23:30:00Z,2021,3,8,67,23,30,0,-13,before,1,0,dusk
PWR04_20210308_234000.wav,Moss,cam_03,2021-03-08,23:40:00,2021-03-08T23:40:00Z,2021,3,8,67,23,40,0,-600,before,1,0,dusk
PWR04_20210308_235000.wav,Moss,cam_04,2021-03-08,23:50:00,2021-03-08T23:50:00Z,2021,3,8,67,23,50,0,600,after,1,0,dusk
PWR04_20210309_000000.wav,Moss,cam_04,2021-03-09,00:00:00,2021-03-09T00:00:00Z,2021,3,9,68,0,0,0,0,now,0,0,dawn
PWR04_20210309_001000.wav,Moss,cam_04,2021-03-09,00:10:00,2021-03-09T00:10:00Z,2021,3,9,68,0,10,0,-600,before,0,0,dawn
PWR04_20210309_211000.wav,Moss,cam_03,2021-03-09,21:10:00,2021-03-09T21:10:00Z,2021,3,9,68,21,10,0,453,before,1,0,dusk
PWR04_20210310_233000.wav,Moss,cam_03,2021-03-10,23:30:00,2021-03-10T23:30:00Z,2021,3,10,69,23,30,0,-154,before,1,0,dusk
PWR04_20210310_235000.wav,Moss,cam_03,2021-03-10,23:50:00,2021-03-10T23:50:00Z,2021,3,10,69,23,50,0,600,after,1,0,dusk
PWR04_20210311_042000.wav,Moss,cam_03,2021-03-11,04:20:00,2021-03-11T04:20:00Z,2021,3,11,70,4,20,0,-313,before,1,0,dawn
PWR04_20210311_194000.wav,Moss,cam_03,2021-03-11,19:40:00,2021-03-11T19:40:00Z,2021,3,11,70,19,40,0,251,before,1,0,dusk
PWR04_20210311_195000.wav,Moss,cam_03,2021-03-11,19:50:00,2021-03-11T19:50:00Z,2021,3,11,70,19,50,0,-349,before,1,0,dusk
PWR04_20210311_220000.wav,Moss,cam_03,2021-03-11,22:00:00,2021-03-11T22:00:00Z,2021,3,11,70,22,0,0,764,after,1,0,dusk
PWR04_20210311_221000.wav,Moss,cam_03,2021-03-11,22:10:00,2021-03-11T22:10:00Z,2021,3,11,70,22,10,0,164,before,1,0,dusk
PWR04_20210311_222000.wav,Moss,cam_03,2021-03-11,22:20:00,2021-03-11T22:20:00Z,2021,3,11,70,22,20,0,-436,before,1,0,dusk
PWR04_20210312_025000.wav,Moss,cam_04,2021-03-12,02:50:00,2021-03-12T02:50:00Z,2021,3,12,71,2,50,0,600,after,1,0,dawn
PWR04_20210312_030000.wav,Moss,cam_04,2021-03-12,03:00:00,2021-03-12T03:00:00Z,2021,3,12,71,3,0,0,0,now,1,0,dawn
PWR04_20210312_031000.wav,Moss,cam_04,2021-03-12,03:10:00,2021-03-12T03:10:00Z,2021,3,12,71,3,10,0,-600,before,1,0,dawn
PWR04_20210314_053000.wav,Moss,cam_03,2021-03-14,05:30:00,2021-03-14T05:30:00Z,2021,3,14,73,5,30,0,600,after,1,0,dawn
PWR04_20210314_054000.wav,Moss,cam_03,2021-03-14,05:40:00,2021-03-14T05:40:00Z,2021,3,14,73,5,40,0,692,after,1,0,dawn
PWR04_20210302_104000.wav,Moss,cam_04,2021-03-02,10:40:00,2021-03-02T10:40:00Z,2021,3,2,61,10,40,0,-86,before,0,1,day
PWR05_20210220_015000.wav,Pinnacle,cam_05,2021-02-20,01:50:00,2021-02-20T01:50:00Z,2021,2,20,51,1,50,0,600,after,1,0,dawn
PWR05_20210220_021000.wav,Pinnacle,cam_05,2021-02-20,02:10:00,2021-02-20T02:10:00Z,2021,2,20,51,2,10,0,-600,before,1,0,dawn
PWR05_20210220_042000.wav,Pinnacle,cam_06,2021-02-20,04:20:00,2021-02-20T04:20:00Z,2021,2,20,51,4,20,0,600,after,1,0,dawn
PWR05_20210219_121000.wav,Pinnacle,cam_05,2021-02-19,12:10:00,2021-02-19T12:10:00Z,2021,2,19,50,12,10,0,600,after,0,1,day
PWR05_20210219_123000.wav,Pinnacle,cam_05,2021-02-19,12:30:00,2021-02-19T12:30:00Z,2021,2,19,50,12,30,0,-600,before,0,1,day
PWR05_20210219_162000.wav,Pinnacle,cam_05,2021-02-19,16:20:00,2021-02-19T16:20:00Z,2021,2,19,50,16,20,0,-600,before,0,0,day
PWR05_20210222_154000.wav,Pinnacle,cam_05,2021-02-22,15:40:00,2021-02-22T15:40:00Z,2021,2,22,53,15,40,0,600,after,0,1,day
PWR05_20210222_160000.wav,Pinnacle,cam_05,2021-02-22,16:00:00,2021-02-22T16:00:00Z,2021,2,22,53,16,0,0,-600,before,0,1,day
PWR05_20210224_110000.wav,Pinnacle,cam_06,2021-02-24,11:00:00,2021-02-24T11:00:00Z,2021,2,24,55,11,0,0,-600,before,0,1,day
PWR05_20210224_123000.wav,Pinnacle,cam_05,2021-02-24,12:30:00,2021-02-24T12:30:00Z,2021,2,24,55,12,30,0,-600,before,0,1,day
S4A07766_20210228_223000.wav,Refuge,cam_07,2021-02-28,22:30:00,2021-02-28T22:30:00Z,2021,2,28,59,22,30,0,600,after,1,0,dusk
